,0
1167,10907
1168,20220
1169,13470
1170,11905
1171,16815
1172,11409
1173,19086
1174,5799
1175,8974
1176,5258
1177,8044
1178,6301
1179,11722
1180,17189
1181,18369
1182,26431
1183,14632
1184,8010
1185,11296
1186,36624
1187,25350
1188,3984
1189,20885
1190,4362
1191,25811
1192,19964
1193,16452
1194,5873
1195,25811
1196,12981
1197,25067
1198,27256
1199,23825
1200,10655
1201,9244
1202,6312
1203,18548
1204,14158
1205,7488
1206,7364
1207,13662
1208,8201
1209,19198
1210,11190
1211,29556
1212,22364
1213,13326
1214,18179
1215,8903
1216,20473
1217,14343
1218,14405
1219,22206
1220,14339
1221,12957
1222,9142
1223,27483
1224,23642
1225,22236
1226,18734
1227,19831
1228,22216
1229,32755
1230,16060
1231,28090
1232,11952
1233,13514
1234,14026
1235,15681
1236,8705
1237,5242
1238,23584
1239,13925
1240,14085
1241,8921
1242,24788
1243,6459
1244,6274
1245,25829
1246,15165
1247,16695
1248,9057
1249,24788
1250,2883
1251,4546
1252,7744
1253,10004
1254,14607
1255,12042
1256,12276
1257,1541
1258,15271
1259,2715
1260,16762
1261,22929
1262,17822
1263,17585
1264,14692
1265,56086
1266,10332
1267,18318
1268,37934
1269,5886
1270,4765
1271,6913
1272,9064
1273,2136
1274,12693
1275,2600
1276,8824
1277,9185
1278,5375
1279,3921
1280,18406
1281,30792
1282,14543
1283,11993
1284,17323
1285,25127
1286,20011
1287,17156
1288,19893
1289,18869
1290,9684
1291,10057
1292,29425
1293,6039
1294,17453
1295,30423
1296,8099
1297,18757
1298,16115
1299,21598
1300,5199
1301,13739
1302,5326
1303,6755
1304,6837
1305,27715
1306,9506
1307,16756
1308,6614
1309,6755
1310,3354
1311,13620
1312,13019
1313,12014
1314,7444
1315,3051
1316,12750
1317,2753
1318,8819
1319,11415
1320,39398
1321,6872
1322,6500
1323,13434
1324,9572
1325,18554
1326,15863
1327,16958
1328,12357
1329,10042
1330,12275
1331,3969
1332,4441
1333,11985
1334,32573
1335,7035
1336,32573
1337,6335
1338,6291
1339,14397
1340,2735
1341,8646
1342,13318
1343,8737
1344,16229
1345,18095
1346,23646
1347,11870
1348,16053
1349,7205
1350,12604
1351,5581
1352,12381
1353,15633
1354,22089
1355,14846
1356,20191
1357,24458
1358,32779
1359,18416
1360,5182
1361,2676
1362,13288
1363,12396
1364,16764
1365,9058
1366,12592
1367,13835
1368,17621
1369,11150
1370,6432
1371,8960
1372,14614
1373,18561
1374,16043
1375,8086
1376,7101
1377,6432
1378,11945
1379,16747
1380,16176
1381,7691
1382,11623
1383,7247
1384,21148
1385,9111
1386,15802
1387,7238
1388,27729
1389,14795
1390,7721
1391,6298
1392,15641
1393,11925
1394,7869
1395,2256
1396,9224
1397,16447
1398,11222
1399,13326
1400,14000
1401,19157
1402,5711
1403,11266
1404,19170
1405,9982
1406,4646
1407,19832
1408,15455
1409,8485
1410,23566
1411,11535
1412,18161
1413,1408
1414,1803
1415,23494
1416,5118
1417,10580
1418,13472
1419,22987
1420,9902
1421,6387
1422,14158
1423,24099
1424,15201
1425,13082
1426,10648
1427,4151
1428,2760
1429,34565
1430,4079
1431,10592
1432,12322
1433,17167
1434,7550
1435,10441
1436,6003
1437,49487
1438,11318
1439,14890
1440,18790
1441,14341
1442,22285
1443,8995
1444,17266
1445,16566
1446,44407
1447,17326
1448,7037
1449,16143
1450,15805
1451,9862
1452,15674
1453,8126
1454,9862
1455,29259
1456,6804
1457,14908
1458,10228
1459,31376
1460,13471
1461,16735
1462,6057
1463,6866
