iter	Passed	Remaining
706	2590	1073
707	2594	1069
708	2597	1066
709	2600	1062
710	2603	1058
711	2606	1054
712	2609	1050
713	2613	1046
714	2621	1044
715	2624	1040
716	2627	1037
717	2631	1033
718	2635	1029
719	2638	1025
720	2641	1022
721	2645	1018
722	2649	1015
723	2652	1011
724	2655	1007
725	2658	1003
726	2661	999
727	2666	996
728	2669	992
729	2671	988
730	2675	984
731	2678	980
732	2682	977
733	2685	973
734	2688	969
735	2691	965
736	2695	961
737	2698	958
738	2701	954
739	2704	950
740	2707	946
741	2710	942
742	2714	939
743	2717	935
744	2720	931
745	2724	927
746	2728	924
747	2732	920
748	2735	916
749	2738	912
750	2741	909
751	2746	905
752	2749	901
753	2752	898
754	2755	894
755	2758	890
756	2763	886
757	2765	883
758	2769	879
759	2772	875
760	2776	872
761	2780	868
762	2783	864
763	2786	860
764	2789	856
765	2793	853
766	2796	849
767	2800	845
768	2803	842
769	2806	838
770	2810	834
771	2813	831
772	2816	827
773	2819	823
774	2822	819
775	2827	816
776	2830	812
777	2833	808
778	2836	804
779	2839	800
780	2844	797
781	2847	793
782	2850	789
783	2853	786
784	2858	782
785	2861	779
786	2864	775
787	2868	771
788	2871	767
789	2877	765
790	2880	761
791	2884	757
792	2887	753
793	2891	750
794	2894	746
795	2897	742
796	2900	738
797	2903	735
798	2930	737
799	2939	734
800	2945	731
801	2951	728
802	2956	725
803	2960	721
804	2964	718
805	2967	714
806	2973	711
807	2976	707
808	2979	703
809	2982	699
810	2985	695
811	2989	692
812	2992	688
813	2995	684
814	2998	680
815	3002	676
816	3006	673
817	3010	669
818	3012	665
819	3016	662
820	3020	658
821	3023	654
822	3026	650
823	3030	647
824	3033	643
825	3038	640
826	3041	636
827	3044	632
828	3047	628
829	3050	624
830	3054	621
831	3057	617
832	3060	613
833	3063	609
834	3067	606
835	3072	602
836	3075	598
837	3078	595
838	3081	591
839	3085	587
840	3089	584
841	3092	580
842	3095	576
843	3098	572
844	3103	569
845	3108	565
846	3111	561
847	3114	558
848	3118	554
849	3121	550
850	3124	547
851	3128	543
852	3131	539
853	3138	536
854	3142	532
855	3145	529
856	3150	525
857	3153	521
858	3157	518
859	3160	514
860	3163	510
861	3169	507
862	3172	503
863	3176	499
864	3178	496
865	3183	492
866	3186	488
867	3189	485
868	3192	481
869	3195	477
870	3200	473
871	3202	470
872	3206	466
873	3209	462
874	3212	458
875	3216	455
876	3219	451
877	3222	447
878	3225	444
879	3229	440
880	3233	436
881	3236	433
882	3239	429
883	3242	425
884	3245	421
885	3249	418
886	3252	414
887	3256	410
888	3259	406
889	3264	403
890	3267	399
891	3270	395
892	3273	392
893	3276	388
894	3280	384
895	3283	381
896	3286	377
897	3289	373
898	3293	369
899	3298	366
900	3301	362
901	3303	358
902	3306	355
903	3309	351
904	3314	347
905	3318	344
906	3322	340
907	3325	336
908	3329	333
909	3332	329
910	3335	325
911	3338	322
912	3341	318
913	3346	314
914	3349	311
915	3352	307
916	3356	303
917	3361	300
918	3364	296
919	3367	292
920	3370	289
921	3373	285
922	3377	281
923	3380	278
924	3383	274
925	3386	270
926	3390	266
927	3395	263
928	3399	259
929	3402	256
930	3405	252
931	3409	248
932	3413	245
933	3417	241
934	3420	237
935	3424	234
936	3428	230
937	3431	226
938	3434	223
939	3437	219
940	3442	215
941	3445	212
942	3448	208
943	3451	204
944	3454	201
945	3459	197
946	3462	193
947	3466	190
948	3470	186
949	3475	182
950	3479	179
951	3483	175
952	3488	172
953	3493	168
954	3498	164
955	3501	161
956	3505	157
957	3509	153
958	3513	150
959	3517	146
960	3521	142
961	3526	139
962	3530	135
963	3534	131
964	3539	128
965	3543	124
966	3547	121
967	3551	117
968	3557	113
969	3561	110
970	3565	106
971	3570	102
972	3575	99
973	3580	95
974	3584	91
975	3589	88
976	3593	84
977	3597	80
978	3601	77
979	3605	73
980	3609	69
981	3613	66
982	3617	62
983	3623	58
984	3627	55
985	3631	51
986	3635	47
987	3640	44
988	3644	40
989	3648	36
990	3654	33
991	3660	29
992	3665	25
993	3670	22
994	3675	18
995	3680	14
996	3685	11
997	3689	7
998	3692	3
999	3696	0
